date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:59:30	109/109	---MCZ	200	added ('OK')	text/plain	date:Mon,%2015%20Jan%202024%2020:23:06%20GMT	https://nouthemes.net/robots.txt		(from )
01:59:34	289970/289970	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20May%202021%2016:34:16%20GMT	https://nouthemes.net/html/mymedi/home13.html	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/home13.html	(from )
01:59:35	3913/3913	---M--	200	added ('OK')	image/png	etag:%22f49-5c1c23126dd00%22	https://nouthemes.net/html/mymedi/img/favicon.png	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/img/favicon.png	(from https://nouthemes.net/html/mymedi/home13.html)
01:59:36	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%227187-5c1e83b5bd200%22	https://nouthemes.net/html/mymedi/plugins/font-awesome/css/font-awesome.min.css	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/plugins/font-awesome/css/font-awesome.min.css	(from https://nouthemes.net/html/mymedi/home13.html)
01:59:37	52360/52360	---MCZ	200	added ('OK')	text/css	etag:W/%22cc88-5c1e83b5bd200%22	https://nouthemes.net/html/mymedi/fonts/Linearicons/Font/demo-files/demo.css	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/fonts/Linearicons/Font/demo-files/demo.css	(from https://nouthemes.net/html/mymedi/home13.html)
01:59:38	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%2222688-5c1e83b5bd200%22	https://nouthemes.net/html/mymedi/plugins/bootstrap4/css/bootstrap.min.css	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/plugins/bootstrap4/css/bootstrap.min.css	(from https://nouthemes.net/html/mymedi/home13.html)
01:59:39	1729/1729	---MCZ	200	added ('OK')	text/css	etag:W/%226c1-5c1e83b5bd200%22	https://nouthemes.net/html/mymedi/plugins/slick/slick/slick.css	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/plugins/slick/slick/slick.css	(from https://nouthemes.net/html/mymedi/home13.html)
01:59:40	21027/21027	---MCZ	200	added ('OK')	text/css	etag:W/%225223-5c1e83b5bd200%22	https://nouthemes.net/html/mymedi/plugins/lightGallery/dist/css/lightgallery.min.css	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/plugins/lightGallery/dist/css/lightgallery.min.css	(from https://nouthemes.net/html/mymedi/home13.html)
01:59:40	4744/4744	---MCZ	200	added ('OK')	text/css	etag:W/%221288-5c1e83b5bd200%22	https://nouthemes.net/html/mymedi/plugins/owl-carousel/assets/owl.carousel.css	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/plugins/owl-carousel/assets/owl.carousel.css	(from https://nouthemes.net/html/mymedi/home13.html)
01:59:40	958/958	---MCZ	200	added ('OK')	text/css	etag:W/%223be-5c1e83b5bd200%22	https://nouthemes.net/html/mymedi/plugins/jquery-bar-rating/dist/themes/fontawesome-stars.css	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/plugins/jquery-bar-rating/dist/themes/fontawesome-stars.css	(from https://nouthemes.net/html/mymedi/home13.html)
01:59:41	7523/7523	---MCZ	200	added ('OK')	text/css	etag:W/%221d63-5c1e83b5bd200%22	https://nouthemes.net/html/mymedi/plugins/noUiSlider/nouislider.css	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/plugins/noUiSlider/nouislider.css	(from https://nouthemes.net/html/mymedi/home13.html)
01:59:43	15180/15180	---MCZ	200	added ('OK')	text/css	etag:W/%223b4c-5c1e83b5bd200%22	https://nouthemes.net/html/mymedi/plugins/select2/dist/css/select2.min.css	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/plugins/select2/dist/css/select2.min.css	(from https://nouthemes.net/html/mymedi/home13.html)
01:59:44	4930/4930	---MCZ	200	added ('OK')	text/css	etag:W/%221342-5c1f6fa3d7300%22	https://nouthemes.net/html/mymedi/css/home-13.css	C:/Users/Hassan%20Murad/Documents/Medico_Ecommerce/nouthemes.net/html/mymedi/css/home-13.css	(from https://nouthemes.net/html/mymedi/home13.html)
